TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_1,AUX_2,AUX_3,AUX_4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Optics1,Optics2,Optics3,Optics4,Optics5,Optics6,Optics7,Optics8,Optics9,Optics10,Optics11,Optics12,Optics13,Optics14,Optics15,Optics16,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2026-01-25 09:30:20.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-0465
2026-01-25 09:30:20.190,0.3673146,-0.19615372,0.52657527,0.375706,0.058992796,-0.40728858,-0.0886201,-0.12788638,0.6208265,0.023669474,0.14480144,0.4486204,0.1815381,-0.21661068,-0.12363628,0.16937043,0.017845605,-0.2078396,-0.1897265,0.018532526,727.4339,707.25446,733.0983,725.04425,499.4415,478.731,526.5245,516.2577,-0.17083740234375,-0.38934326171875,0.92889404296875,-0.814971923828125,-1.263580322265625,-0.3887939453125,5.02939322413752,4.938328684166607,3.682468111484634,3.282107622249243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.186283,1,1.0,1.0,1.0,1.0,52.71
2026-01-25 09:30:21.200,0.6022918,0.680462,0.27567127,0.6774833,0.07051812,0.026384879,-0.044448122,0.089213826,0.6353064,0.1959541,0.19780596,0.46842426,0.32321987,-0.00830656,-0.057210837,0.29213965,0.007724878,-0.06350955,-0.11939618,0.13081217,745.75476,714.15796,720.97296,736.01904,749.0295,747.17084,760.0928,1248.5594,-0.1905517578125,-0.27508544921875,0.9703369140625,16.486358642578125,11.28997802734375,17.667694091796875,5.028355625491739,4.93957990606299,3.68310898123644,3.283816608254059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.016186,1,1.0,1.0,1.0,1.0,52.71
2026-01-25 09:30:22.202,0.62387663,0.90968543,0.5546334,0.8391264,0.39767632,0.24113147,0.17620036,0.5234121,0.3957789,0.49039304,-0.0135213295,0.7047576,0.44194072,0.24704623,0.09663424,0.36555257,0.3154778,0.08769882,0.017190138,0.2743607,719.3798,709.90967,738.85126,729.9121,700.882,702.65216,726.2833,1077.8307,-0.322021484375,-0.17266845703125,1.0155029296875,1.77947998046875,-9.936676025390625,-31.260528564453125,5.0368700379085904,4.953007653243688,3.6845433087761963,3.2912323868106714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.42824,1,1.0,1.0,1.0,1.0,52.71
2026-01-25 09:30:23.215,0.6502234,0.8641522,0.6831639,1.0639338,0.41733178,0.07263411,0.3453754,0.71518844,0.5620424,0.49758905,-0.01624009,0.75563896,0.52793604,0.24891236,0.032201912,0.5373668,0.49570653,0.10418723,-0.06409734,0.3099636,724.3362,722.8316,691.9429,718.05225,696.36816,689.9072,681.2336,1072.4318,-0.2552490234375,-0.3612060546875,1.10675048828125,17.338714599609375,-33.892364501953125,-7.379608154296875,5.001225472665284,4.934452948048542,3.650546694323248,3.2720673294709486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.032154,1,1.0,1.0,1.0,1.0,52.71
2026-01-25 09:30:23.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-25 09:30:24.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-25 09:30:24.222,0.1667123,0.7433323,0.6831639,0.5299382,0.20338392,-0.6060419,0.3453754,0.4497909,0.46811184,0.001023752,-0.01624009,0.32088962,0.5499676,0.29988825,0.032201912,0.4114455,0.408348,0.2174114,-0.06409734,0.42985335,719.2913,753.3663,177.36678,762.571,829.48175,875.6821,909.5801,1015.6107,-0.87890625,0.50091552734375,1.16436767578125,47.769317626953125,68.03146362304688,40.576629638671875,4.982640249862909,4.943303054144911,3.6210056505257135,3.265383973487829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.549026,1,1.0,1.0,1.0,1.0,52.66
2026-01-25 09:30:25.229,0.1667123,0.7433323,0.6831639,0.5299382,0.20338392,-0.6060419,0.3453754,0.4497909,0.46811184,0.001023752,-0.01624009,0.32088962,0.5499676,0.29988825,0.032201912,0.4114455,0.408348,0.2174114,-0.06409734,0.42985335,718.40625,720.88446,736.9926,707.07745,774.87335,764.5181,762.748,1160.1416,-0.8876953125,-0.07080078125,0.45458984375,2.908477783203125,-16.112518310546875,-2.19818115234375,5.001255990272512,4.996953007653244,3.6420627995136257,3.3049042748492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1623,1,1.0,1.0,1.0,1.0,52.66
2026-01-25 09:30:26.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-25 09:30:26.237,0.1667123,0.7433323,0.6831639,0.5299382,0.20338392,-0.6060419,0.3453754,0.4497909,0.46811184,0.001023752,-0.01624009,0.32088962,0.5499676,0.29988825,0.032201912,0.4114455,0.408348,0.2174114,-0.06409734,0.42985335,723.6282,711.32574,685.4819,735.134,741.4179,732.8328,722.8316,1162.9738,-0.97698974609375,0.1199951171875,0.13458251953125,-0.710296630859375,-3.0804443359375,-1.12152099609375,5.005253796819493,5.009800920296593,3.6515537753618004,3.3188508213527883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.55945,1,2.0,1.0,1.0,2.0,52.66
