TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_1,AUX_2,AUX_3,AUX_4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,Optics1,Optics2,Optics3,Optics4,Optics5,Optics6,Optics7,Optics8,Optics9,Optics10,Optics11,Optics12,Optics13,Optics14,Optics15,Optics16,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2026-01-14 05:30:20.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected MuseS-0465
2026-01-14 05:30:20.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:20.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.7179,749.295,733.36383,721.681,540.951,520.68304,554.581,548.297,-0.0078125,-0.016357421875,1.02044677734375,0.22430419921875,-0.456085205078125,0.261688232421875,6.139440669480009,6.07739837398374,4.756413227475384,4.206638533247503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.05885,1,2.0,4.0,4.0,2.0,74.30
2026-01-14 05:30:21.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:21.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.79285,782.30786,768.6779,751.7732,743.5421,732.8328,719.2913,1322.1968,-0.01458740234375,-0.021728515625,1.0230712890625,0.299072265625,0.186920166015625,0.889739990234375,6.171148463390792,6.125585675798107,4.802983096106621,4.274051927616051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.956787,1,2.0,1.0,1.0,2.0,74.30
2026-01-14 05:30:22.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:22.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2026-01-14 05:30:22.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.26056,773.9883,778.85614,746.81683,738.58575,753.2778,744.8697,1281.0414,-0.06640625,-0.01953125,1.06280517578125,-10.3778076171875,-1.18133544921875,0.2093505859375,6.193487351882316,6.152563240588417,4.8333481152993345,4.313663781799108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.031178,1,2.0,1.0,1.0,2.0,74.30
2026-01-14 05:30:23.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:23.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:23.877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.64105,716.9902,724.69025,764.6066,725.9293,727.96497,723.0971,1002.7773,-0.22430419921875,0.1207275390625,0.97735595703125,4.605712890625,21.914520263671875,-1.562652587890625,6.118108862027037,6.036565815511527,4.735783324988675,4.1652871754523995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.28405,1,2.0,1.0,1.0,2.0,74.30
2026-01-14 05:30:24.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:24.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:24.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.8193,732.30176,778.67914,749.2065,746.81683,748.4099,745.0467,1303.6105,-0.50732421875,-0.11236572265625,0.8546142578125,-2.071075439453125,6.4300537109375,2.145843505859375,6.092596142383711,6.015722289774217,4.692997639653816,4.141330853777746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.07337,1,2.0,1.0,1.0,2.0,74.30
2026-01-14 05:30:25.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:25.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:25.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.4511,699.64294,764.5181,720.4419,521.21405,512.8945,530.86127,803.3724,-0.43292236328125,0.01214599609375,0.9085693359375,-5.263671875,1.472930908203125,4.77020263671875,6.15384498009203,6.079076842381327,4.777378823641609,4.225895143408912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.321434,1,2.0,1.0,1.0,2.0,74.30
2026-01-14 05:30:26.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2026-01-14 05:30:26.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.7388,682.7382,741.772,760.88934,774.78485,784.432,754.9594,1228.2915,-0.4619140625,-0.05389404296875,0.898193359375,1.0467529296875,-0.231781005859375,-3.48419189453125,6.246465918031614,6.216070381231671,4.903416541496793,4.407932670529052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.58479,1,2.0,1.0,1.0,2.0,74.30
2026-01-14 05:30:27.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:27.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.8248,729.6466,743.9846,746.37427,780.8033,772.9262,763.0135,1408.6675,-0.4727783203125,-0.02215576171875,0.93048095703125,-0.650482177734375,-1.637420654296875,-0.07476806640625,6.2336790406027225,6.174078153684762,4.884465107407673,4.355198245237585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.95368,1,2.0,1.0,1.0,2.0,74.30
2026-01-14 05:30:28.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2026-01-14 05:30:28.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.571,770.53656,763.102,748.0559,794.0792,793.01715,793.19415,1450.0,-0.47918701171875,-0.04278564453125,0.8974609375,-1.562652587890625,0.777587890625,-0.37384033203125,6.154058603342632,6.063421309872923,4.773503087523544,4.216648308418568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.24739,1,2.0,1.0,1.0,2.0,74.30
2026-01-14 05:30:29.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-01-14 05:30:29.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2026-01-14 05:30:29.919,0.0,0.0,0.0,0.23604901,0.0,0.0,0.0,0.18057694,0.0,0.0,0.0,0.270257,0.0,0.0,0.0,0.8648083,0.0,0.0,0.0,0.83253896,710.88324,701.5901,708.6706,702.1211,746.55133,747.9674,756.55255,1277.8551,-0.4627685546875,-0.0364990234375,0.9085693359375,-0.299072265625,-2.99072265625,-3.768310546875,6.247900245571371,6.200201225472665,4.907170207185943,4.398167036215817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.12592,1,1.0,1.0,1.0,1.0,74.30
